osmid,y,x,street_count,highway,ref,geometry
420026782,16.4600363,107.6047767,4,,,POINT (107.6047767 16.4600363)
420026784,16.4618393,107.6026401,4,,,POINT (107.6026401 16.4618393)
420026785,16.4613684,107.6032915,4,,,POINT (107.6032915 16.4613684)
420026800,16.4518295,107.5907299,3,,,POINT (107.5907299 16.4518295)
420026870,16.4512156,107.6039984,3,,,POINT (107.6039984 16.4512156)
420026966,16.4467147,107.6029249,4,,,POINT (107.6029249 16.4467147)
420026969,16.4456325,107.6017967,1,,,POINT (107.6017967 16.4456325)
420026981,16.4520172,107.5822713,3,,,POINT (107.5822713 16.4520172)
420027038,16.4504494,107.5975883,3,,,POINT (107.5975883 16.4504494)
420027040,16.4532986,107.6007434,3,,,POINT (107.6007434 16.4532986)
420027045,16.457659,107.5957278,3,,,POINT (107.5957278 16.457659)
420027048,16.4399507,107.587281,3,,,POINT (107.587281 16.4399507)
420027051,16.4418033,107.5883936,4,,,POINT (107.5883936 16.4418033)
420027062,16.4558333,107.6055058,3,,,POINT (107.6055058 16.4558333)
420027079,16.4582611,107.5970366,4,,,POINT (107.5970366 16.4582611)
420027082,16.4592147,107.5994019,4,,,POINT (107.5994019 16.4592147)
420027096,16.4861642,107.6022205,3,,,POINT (107.6022205 16.4861642)
420027112,16.4939884,107.5966697,3,,,POINT (107.5966697 16.4939884)
420027118,16.4871657,107.5971736,4,,,POINT (107.5971736 16.4871657)
420027121,16.4881775,107.5967807,3,,,POINT (107.5967807 16.4881775)
420027122,16.4888722,107.5967175,4,,,POINT (107.5967175 16.4888722)
420027136,16.4742709,107.6017642,4,,,POINT (107.6017642 16.4742709)
420027139,16.4732225,107.6011945,3,,,POINT (107.6011945 16.4732225)
420027143,16.4844021,107.6016622,4,,,POINT (107.6016622 16.4844021)
420027144,16.4830389,107.6013591,4,,,POINT (107.6013591 16.4830389)
420027149,16.4771519,107.6017893,3,,,POINT (107.6017893 16.4771519)
420027150,16.47579,107.6018704,4,,,POINT (107.6018704 16.47579)
420027271,16.4592677,107.6106478,3,,,POINT (107.6106478 16.4592677)
420027279,16.4795329,107.5975,1,,,POINT (107.5975 16.4795329)
420027280,16.4800861,107.5982252,4,,,POINT (107.5982252 16.4800861)
420027333,16.4801564,107.5959524,3,,,POINT (107.5959524 16.4801564)
420027334,16.4555804,107.5880135,3,,,POINT (107.5880135 16.4555804)
420027336,16.455971,107.5888755,3,,,POINT (107.5888755 16.455971)
420027341,16.4560802,107.5921436,4,,,POINT (107.5921436 16.4560802)
420027347,16.4546033,107.5833232,4,,,POINT (107.5833232 16.4546033)
420027350,16.4390572,107.5825598,4,,,POINT (107.5825598 16.4390572)
420027351,16.438986,107.5821882,4,,,POINT (107.5821882 16.438986)
420027358,16.4513623,107.5822356,3,,,POINT (107.5822356 16.4513623)
472083063,16.456866,107.5809369,3,,,POINT (107.5809369 16.456866)
472083081,16.4563852,107.5726707,3,,,POINT (107.5726707 16.4563852)
472083082,16.4565228,107.5729891,3,,,POINT (107.5729891 16.4565228)
472083092,16.4643433,107.5896405,3,,,POINT (107.5896405 16.4643433)
472083093,16.4641966,107.5894296,3,,,POINT (107.5894296 16.4641966)
472083097,16.4657047,107.5886594,3,,,POINT (107.5886594 16.4657047)
472083103,16.4648927,107.5877315,4,,,POINT (107.5877315 16.4648927)
472083132,16.4667456,107.5945496,3,,,POINT (107.5945496 16.4667456)
472083138,16.4665475,107.5943099,3,,,POINT (107.5943099 16.4665475)
472083155,16.4668196,107.5940577,1,,,POINT (107.5940577 16.4668196)
472083196,16.4649264,107.5926346,3,,,POINT (107.5926346 16.4649264)
472083206,16.464206,107.5947201,3,,,POINT (107.5947201 16.464206)
472083221,16.4670449,107.594236,1,,,POINT (107.594236 16.4670449)
472083251,16.4630883,107.5936947,3,,,POINT (107.5936947 16.4630883)
472083304,16.4644096,107.5882151,3,,,POINT (107.5882151 16.4644096)
472083312,16.4645398,107.5895052,3,,,POINT (107.5895052 16.4645398)
472083319,16.4668886,107.5910781,3,,,POINT (107.5910781 16.4668886)
472083335,16.4663274,107.5917215,3,,,POINT (107.5917215 16.4663274)
472083354,16.4651532,107.5890692,4,,,POINT (107.5890692 16.4651532)
472083431,16.4659829,107.5921085,4,traffic_signals,,POINT (107.5921085 16.4659829)
472083465,16.465387,107.5903675,3,,,POINT (107.5903675 16.465387)
472083482,16.4673572,107.5936849,3,,,POINT (107.5936849 16.4673572)
472083492,16.4649482,107.5627959,3,,,POINT (107.5627959 16.4649482)
472083499,16.4650756,107.5634264,3,,,POINT (107.5634264 16.4650756)
472083562,16.4628297,107.563496,3,,,POINT (107.563496 16.4628297)
472083582,16.4629236,107.5633431,4,,,POINT (107.5633431 16.4629236)
472083638,16.463653,107.5626014,3,,,POINT (107.5626014 16.463653)
472083675,16.4673662,107.5634571,3,,,POINT (107.5634571 16.4673662)
472083682,16.4676234,107.5638568,3,,,POINT (107.5638568 16.4676234)
472083730,16.4644206,107.5639588,3,,,POINT (107.5639588 16.4644206)
472083744,16.464472,107.5635365,3,,,POINT (107.5635365 16.464472)
472083745,16.4634959,107.5641075,3,,,POINT (107.5641075 16.4634959)
472083746,16.4630689,107.5643302,1,,,POINT (107.5643302 16.4630689)
472083748,16.4661015,107.5633927,3,,,POINT (107.5633927 16.4661015)
472083749,16.4662292,107.5638729,3,,,POINT (107.5638729 16.4662292)
472083750,16.4664556,107.5639534,1,,,POINT (107.5639534 16.4664556)
472083752,16.4649843,107.5621697,3,,,POINT (107.5621697 16.4649843)
472083762,16.4644441,107.5622582,3,,,POINT (107.5622582 16.4644441)
472083862,16.4671706,107.5631326,3,,,POINT (107.5631326 16.4671706)
